No	文番号	英文	日訳	キー文法1	キー文法2	キー文法3
1	3-1-1	What do you do during the summer vacation?	あなたは夏休みの間に何をしますか？	疑問詞(What)	doの疑問文	
2	3-1-2	I usually visit my grandparents.	私はたいてい祖父母を訪ねます。	usually(頻度)		
3	3-1-3	I go to the beach with my family.	私は家族と一緒にビーチへ行きます。	with(〜と一緒に)		
4	3-1-4	That's boring, Kota.	それは退屈だよ、コウタ。	be動詞(is)		
5	3-1-5	I just practice the trumpet.	僕はただトランペットを練習するだけだよ。	just		
6	3-1-6	But I also go to the Honcho Summer Festival every year.	でも僕は毎年本町夏祭りにも行くよ。	also	every year	
7	3-1-7	Sounds fun.	楽しそうだね。	sound + 形容詞		
1	3-2-1	At the Honcho Summer Festival:	本町夏祭りにて：	(場面)		
2	3-2-2	Listen.	聞いて。	命令文		
3	3-2-3	What's that?	あれは何？	疑問詞(What)		
4	3-2-4	Bon-odori.	盆踊りだよ。	(名詞)		
5	3-2-5	It's a summer festival dance.	それは夏祭りの踊りだよ。	be動詞(is)		
6	3-2-6	Ta-da!	じゃーん！	(擬音語)		
7	3-2-7	Do you like it?	あなたはそれが好き？	doの疑問文	like	
8	3-2-8	Really?	ほんと？	(感嘆)		
9	3-2-9	I like dancing.	私は踊るのが好き。	動名詞		
10	3-2-10	Do you like dancing, Nick?	ニック、あなたは踊るのが好き？	動名詞	doの疑問文	
11	3-2-11	Of course.	もちろん。	(口語表現)		
1	LR1-1	Look at this picture.	この写真を見てください。	命令文	look at ~	
2	LR1-2	I can walk.	私は歩くことができます。	can		
3	LR1-3	I can jump.	私はジャンプすることができます。	can		
4	LR1-4	I can swim well.	私は上手に泳ぐことができます。	can		
5	LR1-5	I cannot fly, but I can stay underwater for four or five minutes.	私は飛ぶことはできませんが、水中で4分か5分留まることができます。	cannot	but	can
6	LR1-6	I don't like carrots.	私はニンジンが好きではありません。	do not (don't)		
7	LR1-7	I don't eat grass.	私は草を食べません。	do not (don't)		
8	LR1-8	I like fish.	私は魚が好きです。	like		
9	LR1-9	I eat fish every day.	私は毎日魚を食べます。	every day		
10	LR1-10	What am I?	私は何でしょう？	疑問詞(What)	be動詞の疑問文	
11	LR1-11	Turn this book around.	この本をひっくり返してください。	命令文	turn ~ around	
1	3-3-1	What are those?	あれらは何ですか？	疑問詞(What)	be動詞の疑問文	
2	3-3-2	Balloons?	風船？	(名詞)		
3	3-3-3	Yeah.	うん。	(応答)		
4	3-3-4	They're like yo-yos.	それらはヨーヨーみたいだね。	be動詞(are)	like(〜のようだ)	
5	3-3-5	Do you want to try it?	それをやってみたい？	want to do	doの疑問文	
6	3-3-6	Yes.	はい。	(応答)		
7	3-3-7	I want to get that blue one.	僕はあの青いやつが欲しい。	want to do		
8	3-3-8	Go, Nick!	行け、ニック！	命令文		
9	3-3-9	Oh, no.	ああ、だめだ。	(感嘆)		
10	3-3-10	It's too heavy.	それは重すぎるよ。	be動詞(is)	too(〜すぎる)	
11	3-3-11	OK.	わかった。	(応答)		
12	3-3-12	Watch me.	僕を見てて。	命令文		
13	3-3-13	I'm a pro.	僕はプロだよ。	be動詞(am)		
1	YC-1	You like listening to music, right?	あなたは音楽を聴くのが好きですよね？	動名詞	付加疑問(~, right?)	
2	YC-2	What kind of music do you like?	どんな種類の音楽が好きですか？	What kind of ~?	doの疑問文	
3	YC-3	I like classical music.	私はクラシック音楽が好きです。	like		
4	YC-4	I want to be a pianist.	私はピアニストになりたいです。	want to do		
1	4-H-1	Do you have someone you want to introduce to your friends or teachers?	あなたには、友達や先生に紹介したい人はいますか？	doの疑問文	関係代名詞(目的格省略)	want to do
2	4-H-2	Who is it?	それは誰ですか？	疑問詞(Who)	be動詞の疑問文	
3	4-H-3	Our Teachers	私たちの先生	(タイトル)		
1	4-1-1	Hello, I'm Hajin.	こんにちは、僕はハジンです。	be動詞(am)		
2	4-1-2	I'm from Korea.	韓国出身です。	be動詞(am)	I'm from ~	
3	4-1-3	Hi, nice to meet you.	やあ、はじめまして。	(挨拶)		
4	4-1-4	Call me Kota.	コウタと呼んでください。	call A B	命令文	
5	4-1-5	This is Ms. Thusi.	こちらはトゥシ先生です。	be動詞(is)		
6	4-1-6	She's our English teacher.	彼女は私たちの英語の先生です。	be動詞(is)		
7	4-1-7	Nice to meet you, Hajin.	はじめまして、ハジン。	(挨拶)		
8	4-1-8	Nice to meet you, too, Ms. Thusi.	こちらこそはじめまして、トゥシ先生。	too		
9	4-1-9	That's Mr. Hoshino.	あちらはホシノ先生です。	be動詞(is)		
10	4-1-10	He's our P.E. teacher.	彼は私たちの体育の先生です。	be動詞(is)		
11	4-1-11	He's strict.	彼は厳しいです。	be動詞(is)		
12	4-1-12	But he's popular.	でも彼は人気があります。	be動詞(is)		
13	4-1-13	His class is fun.	彼の授業は面白いです。	be動詞(is)		
14	4-1-14	I see.	なるほど。	(口語表現)		
1	AG1-1	Hello. I'm Tina.	こんにちは。私はティナです。	be動詞(am)		
2	AG1-2	I'm from New York.	私はニューヨーク出身です。	be動詞(am)	I'm from ~	
3	AG1-3	I am a new student.	私は新入生です。	be動詞(am)		
4	AG1-4	You are a new student.	あなたは新入生です。	be動詞(are)		
5	AG1-5	Are you a new student?	あなたは新入生ですか？	be動詞の疑問文		
6	AG1-6	Yes, I am. / No, I am not.	はい、そうです。／いいえ、違います。	(応答)		
7	AG1-7	I am not a new student.	私は新入生ではありません。	be動詞の否定文		
8	AG1-8	Hello. I'm Mr. Mole.	こんにちは。私はモールです。	be動詞(am)		
9	AG1-9	I'm a big soccer fan.	私はサッカーの大ファンです。	be動詞(am)		
10	AG1-10	Noboru, are you a soccer fan?	ノボル、あなたはサッカーファンですか？	be動詞の疑問文		
11	AG1-11	No, I'm not. I'm a big music fan.	いいえ、違います。私は音楽の大ファンです。	(応答)		
12	AG1-12	I like music and sports.	私は音楽とスポーツが好きです。	like	and	
13	AG1-13	I play the trumpet.	私はトランペットを演奏します。	play		
14	AG1-14	Do you play the piano?	あなたはピアノを弾きますか？	doの疑問文	play	
15	AG1-15	Yes, I do. / No, I do not.	はい、弾きます。／いいえ、弾きません。	(応答)		
16	AG1-16	I do not play the piano.	私はピアノを弾きません。	doの否定文	play	
17	AG1-17	Do you like music, Noboru?	ノボル、あなたは音楽が好きですか？	doの疑問文	like	
18	AG1-18	Yes, of course.	はい、もちろん。	(応答)		
19	AG1-19	I like dancing, too.	私も踊ることが好きです。	動名詞	too	
20	AG1-20	I can swim and play the drums.	私は泳ぐこととドラムを演奏することができます。	can	and	
21	AG1-21	I can play the trumpet.	私はトランペットを演奏することができます。	can		
22	AG1-22	Can you play the drums?	あなたはドラムを演奏することができますか？	canの疑問文		
23	AG1-23	Yes, I can. / No, I cannot.	はい、できます。／いいえ、できません。	(応答)		
24	AG1-24	I cannot play the drums.	私はドラムを演奏することはできません。	cannot		
1	4-2-1	Tina: Eri, who's that?	ティナ：エリ、あれは誰？	疑問詞(Who)		
2	4-2-2	Eri: Maybe he's a new student in Kota's class.	エリ：たぶんコウタのクラスの新入生よ。	maybe	in (所属)	
3	4-2-3	Tina: Cool. He's a good basketball player, isn't he?	ティナ：かっこいいね。彼はバスケが上手よね？	付加疑問文	be動詞(is)	
4	4-2-4	Eri: Yes, he is.	エリ：ええ、そうよ。	(応答)		
5	4-2-5	Tina: Do you want to meet him?	ティナ：彼に会ってみたい？	want to do	doの疑問文	
6	4-2-6	Eri: Yes. Let's ask Kota.	エリ：ええ。コウタに聞いてみましょう。	Let's do		
1	4-3-1	Kota and Hajin are in front of the school building.	コウタとハジンは校舎の前にいます。	be動詞(are)	in front of ~	
2	4-3-2	Hajin: Is this our classroom?	ハジン：ここは私たちの教室ですか？	be動詞の疑問文		
3	4-3-3	Kota: No, it isn't. It's over here.	コウタ：いいえ、違います。あちらです。	(応答)	be動詞(is)	over here
4	4-3-4	Hajin: I see.	ハジン：なるほど。	(口語表現)		
5	4-3-5	Eri: Hi, Kota. Is he your classmate?	エリ：こんにちは、コウタ。彼はあなたのクラスメート？	be動詞の疑問文		
6	4-3-6	Kota: Yes. This is Hajin. He's from Korea.	コウタ：うん。こちらはハジン。彼は韓国出身だよ。	be動詞(is)	I'm from ~	
7	4-3-7	Eri: Hi, I'm Eri. Kota's neighbor.	エリ：こんにちは、私はエリ。コウタの隣人よ。	be動詞(am)		
8	4-3-8	Hajin: Hi. Nice to meet you.	ハジン：こんにちは。はじめまして。	(挨拶)		
9	4-3-9	Tina: Hi, I'm Tina. I'm from New York. Nice to meet you.	ティナ：こんにちは、私はティナ。ニューヨーク出身よ。はじめまして。	be動詞(am)	I'm from ~	
1	4-G-1	We want to introduce Mr. Nakamura.	私たちはナカムラ先生を紹介したいと思います。	want to do		
2	4-G-2	He's our math teacher.	彼は私たちの数学の先生です。	be動詞(is)		
3	4-G-3	He's from Okinawa.	彼は沖縄出身です。	be動詞(is)	I'm from ~	
4	4-G-4	He's good at....	彼は...が得意です。	be動詞(is)	be good at ~	
1	DL-1	Whose pencil case is that?	あれは誰の筆箱ですか？	疑問詞(Whose)	be動詞の疑問文	
2	DL-2	Pencil case?	筆箱？	(名詞)		
3	DL-3	It's under your desk.	それはあなたの机の下にあります。	be動詞(is)	under ~	
4	DL-4	Is it yours?	それはあなたのものですか？	be動詞の疑問文	所有代名詞	
5	DL-5	No, it's not mine.	いいえ、それは私のものではありません。	(応答)	be動詞の否定文	所有代名詞
6	DL-6	Whose is it?	それは誰のものですか？	疑問詞(Whose)	be動詞の疑問文	
7	DL-7	Do you have any idea?	何か心当たりはありますか？	doの疑問文	any	
8	DL-8	Well, maybe it's Hiro's.	ええと、たぶんヒロのです。	maybe	所有格('s)	
9	DL-9	Let's ask him.	彼に聞いてみましょう。	Let's do		
10	AG2-1	That's Mr. Hoshino.	あちらはホシノ先生です。	be動詞(is)		
11	AG2-2	He's our P.E. teacher.	彼は私たちの体育の先生です。	be動詞(is)		
12	AG2-3	His class is fun.	彼の授業は面白いです。	be動詞(is)		
